wday,company,content,link
Thu,BlockSec,Phalcon 2.0,https://twitter.com/BlockSecTeam/status/1611016320874852354
Tue,BlockSec,Phalcon 2.0 notice,https://twitter.com/BlockSecTeam/status/1610235548983263233
Fri,PeckShield,Leon,https://twitter.com/peckshield/status/1611172427123527680
Fri,PeckShieldAlert,JustinSun whale,https://twitter.com/PeckShieldAlert/status/1611335245445623809
Fri,PeckShieldAlert,JustinSun whale,https://twitter.com/PeckShieldAlert/status/1611273597833838594
Fri,PeckShieldAlert,twitter compromised,https://twitter.com/PeckShieldAlert/status/1611189561308372993
Fri,PeckShieldAlert,USDD,https://twitter.com/PeckShieldAlert/status/1611203819467321346
Thu,PeckShieldAlert,Genesis whale,https://twitter.com/PeckShieldAlert/status/1610818621839912960
Wed,PeckShieldAlert,FSC rug,https://twitter.com/PeckShieldAlert/status/1610598038388740098
Wed,PeckShieldAlert,GMX whale exploited,https://twitter.com/PeckShieldAlert/status/1610548244802854913
Wed,PeckShieldAlert,$CLU gamble,https://twitter.com/PeckShieldAlert/status/1610455294416650240
Tue,PeckShieldAlert,Genesis whale,https://twitter.com/PeckShieldAlert/status/1610134187583082499
Sat,CertiK,ParaSpaceNFT chat notice,https://twitter.com/CertiK/status/1611437468024246278
Sat,CertiK,Weekly project ParaSpace,https://twitter.com/CertiK/status/1611437459555946537
Sat,CertiK,TS: How to Protect crypto projects from insider threats,https://twitter.com/CertiK/status/1611422219682611200
Sat,CertiK,Audit 11 projects,https://twitter.com/CertiK/status/1611404384700715008
Fri,CertiK,Web3 Security Report Centralized Crypto Companies,https://twitter.com/CertiK/status/1611331621059174401
Fri,CertiK,Expert notice,https://twitter.com/CertiK/status/1611208045245202432
Fri,Certik,CertiK Analyst discuss,https://twitter.com/CertiK/status/1611043875908354051
Thu,CertiK,Profanity vulnerability & private key compromises,https://twitter.com/CertiK/status/1611028089223397377
Wed,CertiK,Annual Report notice 3/3,https://twitter.com/CertiK/status/1610424849058480129
Wed,CertiK,Annual Report notice 2/3,https://twitter.com/CertiK/status/1610388155412189190
Wed,CertiK,BSCNews reply,https://twitter.com/CertiK/status/1610375962037723137
Wed,CertiK,MktsInsider,https://twitter.com/CertiK/status/1610331061682143232
Wed,CertiK,Top 100 company by onMogul,https://twitter.com/CertiK/status/1610318723738488832
Wed,CertiK,Annual Report notice 1/3,https://twitter.com/CertiK/status/1610330156329013252
Fri,CertiKCommunity,Insider Threats notice,https://twitter.com/CertiKCommunity/status/1611380023625224192
Fri,CertiKCommunity,Topic,https://twitter.com/CertiKCommunity/status/1611051519893295107
Thu,CertiKCommunity,PiNetwork,https://twitter.com/CertiKCommunity/status/1610725165473861634
Wed,CertiKCommunity,top 10% Watchlisted,https://twitter.com/CertiKCommunity/status/1610606202748108800
Fri,CertiKAlert,twitter compromised,https://twitter.com/CertiKAlert/status/1611202407903690752
Wed,CertiKAlert,PHL Slippage,https://twitter.com/CertiKAlert/status/1610662622369648641
Thu,CertiKAlert,fake twitter arb,https://twitter.com/CertiKAlert/status/1610775207312080896
Wed,CertiKAlert,Nifty dc hacked,https://twitter.com/CertiKAlert/status/1610540097849462784
Wed,CertiKAlert,GMX whale,https://twitter.com/CertiKAlert/status/1610554437172338690
Tue,CertiKAlert,Cointelegraph reports,https://twitter.com/CertiKAlert/status/1610169894124888066
Wed,CertiKAlert,SBF,https://twitter.com/CertiKAlert/status/1610355117261312000
Tue,CertiKAlert,Worlds Beyond dc compromised,https://twitter.com/CertiKAlert/status/1610124288270409728
Tue,CertiKAlert,fake twitter memeland,https://twitter.com/CertiKAlert/status/1610192909864681472
Mon,CertiKAlert,EdgehogsNFT dc compromised,https://twitter.com/CertiKAlert/status/1609811058100785153
Mon,CertiKAlert,Everybodys dc compromised,https://twitter.com/CertiKAlert/status/1609798470420017156
Mon,CertiKAlert,UK tax exemption,https://twitter.com/CertiKAlert/status/1609682665262776325
Mon,CertiKAlert,fake pi token,https://twitter.com/CertiKAlert/status/1609877313063161856
Sat,OpenZeppelin,ts with compound and gauntlet notice,https://twitter.com/OpenZeppelin/status/1611400103734173696
Thu,OpenZeppelin,poap incentives,https://twitter.com/OpenZeppelin/status/1610697568345899013
Wed,OpenZeppelin,ts with compound and gauntlet notice,https://twitter.com/OpenZeppelin/status/1610375051119058944
Tue,BlockSec,gas-token scam,https://twitter.com/BlockSecTeam/status/1610232910539378690
Sat,CertiK,Vet team members,https://twitter.com/CertiK/status/1611725944347148288?s=20&t=93U8Pjq7aGbD4hRooVPOlQ
Sat,CertiK,inside threats,https://twitter.com/CertiK/status/1611725940362551297
Sat,CertiKCommunity,bridge report,https://twitter.com/CertiKCommunity/status/1611692876408274947
Sat,CertiKAlert,SDS slippage,https://twitter.com/CertiKAlert/status/1611507554214879233
Sat,CertiKAlert,fake twitter lido,https://twitter.com/CertiKAlert/status/1611627701361680393
