group,variable,value
Sun, BlockSec, 7
Mon, BlockSec, 1
Tue, BlockSec, 21
Wed, BlockSec, 27
Thu, BlockSec, 7
Fri, BlockSec, 5
Sat, BlockSec, 16
Sun, PeckShield, 20
Mon, PeckShield, 64
Tue, PeckShield, 69
Wed, PeckShield, 18
Thu, PeckShield, 20
Fri, PeckShield, 16
Sat, PeckShield, 6
Sun, PeckShieldAlert, 1
Mon, PeckShieldAlert, 22
Tue, PeckShieldAlert, 128
Wed, PeckShieldAlert, 48
Thu, PeckShieldAlert, 34
Fri, PeckShieldAlert, 83
Sat, PeckShieldAlert, 42
Sun, CertiK, 7
Mon, CertiK, 110
Tue, CertiK, 8935
Wed, CertiK, 1374
Thu, CertiK, 6675
Fri, CertiK, 383
Sat, CertiK, 779
Sun, CertiK Security Leader Board, -17
Mon, CertiK Security Leader Board, -26
Tue, CertiK Security Leader Board, 2349
Wed, CertiK Security Leader Board, 1011
Thu, CertiK Security Leader Board, 5127
Fri, CertiK Security Leader Board, 2058
Sat, CertiK Security Leader Board, 762
Sun, CertiK Alert, 60
Mon, CertiK Alert, 40
Tue, CertiK Alert, 2271
Wed, CertiK Alert, 591
Thu, CertiK Alert, 717
Fri, CertiK Alert, 327
Sat, CertiK Alert, 248
Sun, TrailOfBits, 14
Mon, TrailOfBits, -7
Tue, TrailOfBits, 27
Wed, TrailOfBits, -32
Thu, TrailOfBits, 6
Fri, TrailOfBits, 14
Sat, TrailOfBits, 8
Sun, OpenZeppelin, 106
Mon, OpenZeppelin, 117
Tue, OpenZeppelin, 89
Wed, OpenZeppelin, 75
Thu, OpenZeppelin, 107
Fri, OpenZeppelin, 63
Sat, OpenZeppelin, 50
Sun, SlowMist, -2
Mon, SlowMist, 18
Tue, SlowMist, 8
Wed, SlowMist, 29
Thu, SlowMist, 47
Fri, SlowMist, 16
Sat, SlowMist, 20
Sun, MistTrack, 2
Mon, MistTrack, -3
Tue, MistTrack, 1
Wed, MistTrack, -27
Thu, MistTrack, 9
Fri, MistTrack, 54
Sat, MistTrack, 20
Sun, ChainAnalysis, 5
Mon, ChainAnalysis, 6
Tue, ChainAnalysis, 6
Wed, ChainAnalysis, 29
Thu, ChainAnalysis, 46
Fri, ChainAnalysis, 3
Sat, ChainAnalysis, 3
Sun, TRM Labs, 4
Mon, TRM Labs, 0
Tue, TRM Labs, 17
Wed, TRM Labs, 0
Thu, TRM Labs, 0
Fri, TRM Labs, 17
Sat, TRM Labs, 3
Sun, Elliptic, -5
Mon, Elliptic, 5
Tue, Elliptic, 8
Wed, Elliptic, -2
Thu, Elliptic, 2
Fri, Elliptic, -1
Sat, Elliptic, -3
